index,scenario_id,scenario_name,model,total_reward_yuan_mean,total_reward_yuan_std,mean_reward_yuan_mean,mean_reward_yuan_std,cvar_5_yuan_mean,cvar_5_yuan_std,final_soc_mean,final_soc_std,battery_throughput_mwh_mean,battery_throughput_mwh_std,high_price_discharge_rate_mean,high_price_discharge_rate_std,low_price_charge_rate_mean,low_price_charge_rate_std
0,S1,常规夏季运行场景,LE-DRL w/o Text,-203502.77462800176,0.12994621814583326,-302.8315098630979,0.0001933723484225573,-664.1711382205303,0.0,0.10000000000000002,0.0,3.0400000000000005,0.0,0.0,0.0,0.0,0.0
1,S1,常规夏季运行场景,LE-DRL-SAC,-202355.5284344874,41.6229120037926,-301.1242982656063,0.061938857148501315,-627.7303563252703,3.4826787537752875,0.16562846270685982,0.0076954946414241705,18.66784779653462,0.9738437998423286,0.4226190476190476,0.01574851970871781,0.19444444444444445,0.009092412093166344
2,S1,常规夏季运行场景,SAC-Numeric,-203502.81811766722,0.29673787877131236,-302.831574579862,0.0004415742243516137,-664.1711382205303,0.0,0.10000000000000002,0.0,3.0399999999999996,0.0,0.0,0.0,0.0,0.0
3,S2,高温负荷压力场景,LE-DRL w/o Text,-220256.83845990236,0.5166526181255039,-327.7631524700928,0.0007688283007611391,-740.116932222691,0.0,0.10000000000000002,0.0,3.0399999999999996,0.0,0.0,0.0,0.0,0.0
4,S2,高温负荷压力场景,LE-DRL-SAC,-219289.3691698825,11.181432692444341,-326.32346602661084,0.016639036744706556,-701.2150802133712,4.38639172607086,0.16806140747435203,0.01022107626739945,17.417233378635085,0.7431708497587439,0.3630952380952381,0.025945827044884965,0.14484126984126985,0.0068732174903526795
5,S2,高温负荷压力场景,SAC-Numeric,-220257.1010122175,1.1103208471267274,-327.76354317294266,0.0016522631653539555,-740.116932222691,0.0,0.10000000000000002,0.0,3.039999999999999,3.1401849173675503e-16,0.0,0.0,0.0,0.0
6,S3,价格尖峰场景,LE-DRL w/o Text,-222024.5531994293,0.3096979645630659,-330.3936803562936,0.0004608600663083377,-810.7098040455985,0.0,0.10000000000000002,0.0,3.0399999999999996,4.440892098500626e-16,0.0,0.0,0.0,0.0
7,S3,价格尖峰场景,LE-DRL-SAC,-219456.0529474883,83.91001501408269,-326.57150736233376,0.12486609377094371,-781.8028738828892,1.3920893985430975,0.12703936454009965,0.009811298447392347,21.661491455566097,0.7179246339144136,0.48809523809523814,0.015748519708717813,0.21626984126984128,0.009092412093166344
8,S3,价格尖峰场景,SAC-Numeric,-222024.62513873714,0.7098623328199785,-330.39378740883507,0.0010563427571662308,-810.7098040455985,0.0,0.10000000000000002,0.0,3.0400000000000005,0.0,0.0,0.0,0.0,0.0
9,S4,新能源消纳压力场景,LE-DRL w/o Text,-198308.01960612086,0.33378494581692264,-295.10121965196555,0.0004967037884327681,-670.1910911256819,0.0,0.10000000000000002,0.0,3.0399999999999996,5.438959822042073e-16,0.0,0.0,0.0,0.0
10,S4,新能源消纳压力场景,LE-DRL-SAC,-196534.31557841026,52.18206984156702,-292.46177913453903,0.07765188964515449,-612.634949392908,6.181152241190597,0.17207483630905251,0.010044588619352904,24.43420482911898,1.025735758463062,0.4662698412698412,0.022535350578572512,0.3055555555555555,0.003436608745176372
11,S4,新能源消纳压力场景,SAC-Numeric,-198308.2503894507,0.67552086945823,-295.10156307953974,0.0010052393890755157,-670.1910911256819,0.0,0.10000000000000002,0.0,3.0399999999999996,4.440892098500626e-16,0.0,0.0,0.0,0.0
