timestamp,region,load_mw,pv_mw,price_yuan_mwh,temperature_c,event_type,event_text,scenario_id,scenario_name,stress_type
2025-07-29 00:00:00,广东省,3.5768,0.0338,340.5728,29.086,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 00:15:00,广东省,3.5234,0.0,356.5566,28.369,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 00:30:00,广东省,3.3819,0.0,381.3479,29.811,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 00:45:00,广东省,3.324,0.0,410.7527,28.449,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 01:00:00,广东省,3.3575,0.0,366.5908,28.634,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 01:15:00,广东省,3.271,0.0347,345.5173,28.903,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 01:30:00,广东省,3.5564,0.0666,370.3871,28.409,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 01:45:00,广东省,3.5575,0.0922,356.1161,28.449,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 02:00:00,广东省,3.4856,0.0,360.5286,29.294,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 02:15:00,广东省,3.4234,0.0074,386.0657,27.821,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 02:30:00,广东省,3.2776,0.0304,401.7283,28.7,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 02:45:00,广东省,3.3605,0.0,356.7121,29.629,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 03:00:00,广东省,3.3434,0.0496,366.9894,29.107,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 03:15:00,广东省,3.3565,0.115,420.8961,29.631,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 03:30:00,广东省,3.5676,0.0,407.3881,29.054,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 03:45:00,广东省,3.395,0.0,341.7763,29.453,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 04:00:00,广东省,3.5385,0.0371,380.3538,28.946,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 04:15:00,广东省,3.3432,0.0,369.5345,28.946,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 04:30:00,广东省,3.5199,0.0346,408.2114,28.856,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 04:45:00,广东省,3.383,0.0,389.4551,29.537,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 05:00:00,广东省,3.4944,0.0717,415.7703,29.359,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 05:15:00,广东省,3.6066,0.0,353.9836,28.607,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 05:30:00,广东省,3.3616,0.0,363.3516,29.074,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 05:45:00,广东省,3.4206,0.0,378.3513,28.907,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 06:00:00,广东省,3.4216,0.0238,351.9567,29.169,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 06:15:00,广东省,3.473,0.0169,379.1796,28.319,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 06:30:00,广东省,3.503,0.1754,365.7523,29.561,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 06:45:00,广东省,3.6198,0.4622,366.4041,29.946,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 07:00:00,广东省,3.3659,0.5798,310.7927,28.94,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 07:15:00,广东省,3.3651,0.8636,301.7485,29.186,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 07:30:00,广东省,3.4611,0.663,353.994,30.313,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 07:45:00,广东省,3.4386,0.8309,328.7555,30.176,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 08:00:00,广东省,3.4147,1.1657,254.2296,29.772,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 08:15:00,广东省,3.5511,1.3116,254.8932,30.024,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 08:30:00,广东省,3.4353,1.7209,262.9684,30.798,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 08:45:00,广东省,3.4923,1.471,207.1785,30.106,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 09:00:00,广东省,3.5914,1.998,201.1773,31.34,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 09:15:00,广东省,3.6496,2.1045,189.8006,31.737,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 09:30:00,广东省,3.683,2.0957,137.5318,31.271,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
2025-07-29 09:45:00,广东省,3.6582,1.7798,119.1232,31.209,正常运行,Status: Normal,V4,4MW光伏午间负电价夏季,neg_price_noon_summer
