timestamp,region,load_mw,pv_mw,price_yuan_mwh,temperature_c,event_type,event_text,scenario_id,scenario_name,stress_type,_hour,ai_risk_score,ai_price_spike_score,ai_load_pressure_score,ai_renewable_curtailment_score,ai_recommended_storage_bias,ai_event_summary,ai_explanation,ai_provider,ai_model
2025-08-05 00:00:00,广东省,3.3872,0.0,364.8527,29.246,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,0.0,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 00:15:00,广东省,3.3581,0.0435,395.0861,28.777,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,0.25,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 00:30:00,广东省,3.4523,0.0038,372.952,29.252,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,0.5,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 00:45:00,广东省,3.4224,0.0,384.2781,29.526,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,0.75,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 01:00:00,广东省,3.5492,0.0,366.0727,29.307,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,1.0,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 01:15:00,广东省,3.5198,0.0271,396.2973,29.52,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,1.25,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 01:30:00,广东省,3.3904,0.1606,339.4848,29.19,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,1.5,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 01:45:00,广东省,3.4883,0.0,414.7605,29.691,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,1.75,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 02:00:00,广东省,3.3196,0.0545,375.549,30.186,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,2.0,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 02:15:00,广东省,3.4387,0.0332,375.4721,29.03,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,2.25,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 02:30:00,广东省,3.5072,0.052,419.7046,29.281,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,2.5,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 02:45:00,广东省,3.527,0.0,419.7436,28.898,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,2.75,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
2025-08-05 03:00:00,广东省,3.6756,0.1643,370.1422,28.28,正常运行,Status: Normal,S7,外送受限就地消纳场景,export_curtailed,3.0,0.05,0.0,0.0,0.0,0.0,keyword: 未检测到显著文本风险事件,LocalSemanticEncoder keyword score: 未检测到显著文本风险事件,keyword,local-keyword
