timestamp,region,load_mw,pv_mw,price_yuan_mwh,temperature_c,event_type,event_text
2024-07-01 00:00:00,广东省,3.3959,0.0514,378.9582,30.3,正常运行,Status: Normal
2024-07-01 00:15:00,广东省,3.1856,0.0821,384.8192,30.225,正常运行,Status: Normal
2024-07-01 00:30:00,广东省,3.5872,0.0573,370.2664,30.15,正常运行,Status: Normal
2024-07-01 00:45:00,广东省,3.2849,0.0,384.4318,30.075,正常运行,Status: Normal
2024-07-01 01:00:00,广东省,3.3548,0.0,336.3098,30.0,正常运行,Status: Normal
2024-07-01 01:15:00,广东省,3.6595,0.0034,383.785,29.95,正常运行,Status: Normal
2024-07-01 01:30:00,广东省,3.3843,0.0431,362.5153,29.9,正常运行,Status: Normal
2024-07-01 01:45:00,广东省,3.3446,0.0255,372.3017,29.85,正常运行,Status: Normal
2024-07-01 02:00:00,广东省,3.3413,0.0905,397.4447,29.8,正常运行,Status: Normal
2024-07-01 02:15:00,广东省,3.5109,0.0375,378.8329,29.8,正常运行,Status: Normal
2024-07-01 02:30:00,广东省,3.3432,0.032,401.3254,29.8,正常运行,Status: Normal
2024-07-01 02:45:00,广东省,3.1731,0.0,370.9784,29.8,正常运行,Status: Normal
2024-07-01 03:00:00,广东省,3.2573,0.0,432.8294,29.8,正常运行,Status: Normal
2024-07-01 03:15:00,广东省,3.3388,0.0742,365.2247,29.8,正常运行,Status: Normal
2024-07-01 03:30:00,广东省,3.3985,0.0024,364.2368,29.8,正常运行,Status: Normal
2024-07-01 03:45:00,广东省,3.2259,0.0406,369.6331,29.8,正常运行,Status: Normal
2024-07-01 04:00:00,广东省,3.438,0.0,390.6232,29.8,正常运行,Status: Normal
2024-07-01 04:15:00,广东省,3.3636,0.0,362.9587,29.8,正常运行,Status: Normal
2024-07-01 04:30:00,广东省,3.297,0.0,398.7543,29.8,正常运行,Status: Normal
2024-07-01 04:45:00,广东省,3.3937,0.0,371.5671,29.8,正常运行,Status: Normal
2024-07-01 05:00:00,广东省,3.6587,0.0452,384.8378,29.8,正常运行,Status: Normal
2024-07-01 05:15:00,广东省,3.3895,0.0,365.3855,29.925,正常运行,Status: Normal
2024-07-01 05:30:00,广东省,3.4172,0.0,417.5762,30.05,正常运行,Status: Normal
2024-07-01 05:45:00,广东省,3.5427,0.011,352.2849,30.175,正常运行,Status: Normal
2024-07-01 06:00:00,广东省,3.4189,0.0,354.4559,30.3,正常运行,Status: Normal
2024-07-01 06:15:00,广东省,3.5043,0.0619,406.1059,30.35,正常运行,Status: Normal
2024-07-01 06:30:00,广东省,3.5044,0.1343,377.3329,30.4,正常运行,Status: Normal
2024-07-01 06:45:00,广东省,3.3019,0.2372,394.0644,30.45,正常运行,Status: Normal
2024-07-01 07:00:00,广东省,3.5307,0.2656,410.6217,30.5,正常运行,Status: Normal
2024-07-01 07:15:00,广东省,3.394,0.4399,391.9664,30.575,正常运行,Status: Normal
2024-07-01 07:30:00,广东省,3.4333,0.5665,350.0879,30.65,正常运行,Status: Normal
2024-07-01 07:45:00,广东省,3.483,0.7204,367.4625,30.725,正常运行,Status: Normal
2024-07-01 08:00:00,广东省,3.357,0.8442,318.8227,30.8,正常运行,Status: Normal
2024-07-01 08:15:00,广东省,3.5987,1.1312,346.3256,30.925,正常运行,Status: Normal
2024-07-01 08:30:00,广东省,3.6206,1.2419,338.7378,31.05,正常运行,Status: Normal
2024-07-01 08:45:00,广东省,3.8057,1.5732,329.3753,31.175,正常运行,Status: Normal
2024-07-01 09:00:00,广东省,3.4854,1.7427,326.2636,31.3,正常运行,Status: Normal
2024-07-01 09:15:00,广东省,3.52,1.9666,342.0473,31.9,正常运行,Status: Normal
2024-07-01 09:30:00,广东省,3.7859,2.3362,349.6023,32.5,正常运行,Status: Normal
2024-07-01 09:45:00,广东省,3.3872,2.5242,270.8257,33.1,正常运行,Status: Normal
2024-07-01 10:00:00,广东省,3.5376,2.8067,369.3652,33.7,正常运行,Status: Normal
2024-07-01 10:15:00,广东省,3.8089,2.7641,328.9738,33.675,正常运行,Status: Normal
2024-07-01 10:30:00,广东省,3.5471,2.7294,329.8729,33.65,正常运行,Status: Normal
2024-07-01 10:45:00,广东省,3.9531,2.8603,343.9001,33.625,正常运行,Status: Normal
2024-07-01 11:00:00,广东省,3.6265,2.758,389.5608,33.6,正常运行,Status: Normal
2024-07-01 11:15:00,广东省,3.5715,2.8842,385.0754,33.3,正常运行,Status: Normal
2024-07-01 11:30:00,广东省,3.7254,2.9654,309.4779,33.0,正常运行,Status: Normal
2024-07-01 11:45:00,广东省,3.7405,2.8936,347.307,32.7,正常运行,Status: Normal
2024-07-01 12:00:00,广东省,3.6935,2.868,327.0358,32.4,正常运行,Status: Normal
2024-07-01 12:15:00,广东省,3.716,3.0359,319.9463,32.75,正常运行,Status: Normal
2024-07-01 12:30:00,广东省,3.8046,3.1473,300.2821,33.1,正常运行,Status: Normal
2024-07-01 12:45:00,广东省,3.7503,3.1903,313.9781,33.45,正常运行,Status: Normal
2024-07-01 13:00:00,广东省,3.7017,3.2996,337.5598,33.8,正常运行,Status: Normal
2024-07-01 13:15:00,广东省,3.8357,3.3324,332.0142,33.975,正常运行,Status: Normal
2024-07-01 13:30:00,广东省,3.8354,3.2958,388.852,34.15,正常运行,Status: Normal
2024-07-01 13:45:00,广东省,3.67,3.2349,309.7625,34.325,正常运行,Status: Normal
2024-07-01 14:00:00,广东省,3.9161,3.1229,333.3224,34.5,正常运行,Status: Normal
2024-07-01 14:15:00,广东省,3.8806,3.0912,337.6837,34.375,正常运行,Status: Normal
2024-07-01 14:30:00,广东省,4.0763,3.051,368.5413,34.25,正常运行,Status: Normal
2024-07-01 14:45:00,广东省,3.8729,2.9366,349.0699,34.125,正常运行,Status: Normal
2024-07-01 15:00:00,广东省,3.8245,2.8423,362.4259,34.0,正常运行,Status: Normal
2024-07-01 15:15:00,广东省,3.8805,2.6347,334.8201,33.8,正常运行,Status: Normal
2024-07-01 15:30:00,广东省,4.1538,2.4471,372.318,33.6,正常运行,Status: Normal
2024-07-01 15:45:00,广东省,4.1064,2.2565,361.1527,33.4,正常运行,Status: Normal
2024-07-01 16:00:00,广东省,4.0699,2.0844,389.9383,33.2,正常运行,Status: Normal
2024-07-01 16:15:00,广东省,3.9856,1.9517,438.9566,33.125,正常运行,Status: Normal
2024-07-01 16:30:00,广东省,4.1032,1.6417,421.8524,33.05,正常运行,Status: Normal
2024-07-01 16:45:00,广东省,4.2247,1.5135,397.3585,32.975,正常运行,Status: Normal
2024-07-01 17:00:00,广东省,4.3475,1.2774,413.3926,32.9,正常运行,Status: Normal
2024-07-01 17:15:00,广东省,4.2849,1.1602,434.4471,32.525,正常运行,Status: Normal
2024-07-01 17:30:00,广东省,4.5566,1.0086,457.6314,32.15,正常运行,Status: Normal
2024-07-01 17:45:00,广东省,4.4302,0.9239,471.8248,31.775,正常运行,Status: Normal
2024-07-01 18:00:00,广东省,4.6694,0.9422,441.0134,31.4,正常运行,Status: Normal
2024-07-01 18:15:00,广东省,4.4103,0.7006,508.8733,31.4,正常运行,Status: Normal
2024-07-01 18:30:00,广东省,4.7146,0.5747,490.5361,31.4,正常运行,Status: Normal
2024-07-01 18:45:00,广东省,4.6462,0.433,478.8338,31.4,正常运行,Status: Normal
2024-07-01 19:00:00,广东省,4.4852,0.3048,465.2332,31.4,正常运行,Status: Normal
2024-07-01 19:15:00,广东省,4.8471,0.1789,490.4422,31.4,正常运行,Status: Normal
2024-07-01 19:30:00,广东省,4.7135,0.099,473.3996,31.4,正常运行,Status: Normal
2024-07-01 19:45:00,广东省,4.9253,0.0653,552.8791,31.4,正常运行,Status: Normal
2024-07-01 20:00:00,广东省,4.6539,0.0,530.191,31.4,正常运行,Status: Normal
2024-07-01 20:15:00,广东省,4.7724,0.0448,535.8612,31.35,正常运行,Status: Normal
2024-07-01 20:30:00,广东省,4.7974,0.013,494.0634,31.3,正常运行,Status: Normal
2024-07-01 20:45:00,广东省,4.5247,0.0137,451.506,31.25,正常运行,Status: Normal
2024-07-01 21:00:00,广东省,4.632,0.0073,509.9268,31.2,正常运行,Status: Normal
2024-07-01 21:15:00,广东省,4.6808,0.0614,498.9991,31.05,正常运行,Status: Normal
2024-07-01 21:30:00,广东省,4.4476,0.0,489.4933,30.9,正常运行,Status: Normal
2024-07-01 21:45:00,广东省,4.3944,0.0,489.436,30.75,正常运行,Status: Normal
2024-07-01 22:00:00,广东省,4.5009,0.0443,476.9482,30.6,正常运行,Status: Normal
2024-07-01 22:15:00,广东省,4.6579,0.0,414.6655,30.525,正常运行,Status: Normal
2024-07-01 22:30:00,广东省,4.1652,0.018,466.7792,30.45,正常运行,Status: Normal
2024-07-01 22:45:00,广东省,4.2209,0.0,474.0502,30.375,正常运行,Status: Normal
2024-07-01 23:00:00,广东省,4.0114,0.0012,439.3569,30.3,正常运行,Status: Normal
2024-07-01 23:15:00,广东省,4.201,0.0216,379.615,30.275,正常运行,Status: Normal
2024-07-01 23:30:00,广东省,3.8803,0.0,426.1826,30.25,正常运行,Status: Normal
2024-07-01 23:45:00,广东省,3.9148,0.0,399.3386,30.225,正常运行,Status: Normal
2024-07-02 00:00:00,广东省,3.664,0.0212,390.0178,30.2,正常运行,Status: Normal
2024-07-02 00:15:00,广东省,3.3921,0.1124,436.5094,30.125,正常运行,Status: Normal
2024-07-02 00:30:00,广东省,3.5897,0.0231,340.4055,30.05,正常运行,Status: Normal
2024-07-02 00:45:00,广东省,3.4901,0.0,329.7218,29.975,正常运行,Status: Normal
2024-07-02 01:00:00,广东省,3.317,0.0,398.5464,29.9,正常运行,Status: Normal
2024-07-02 01:15:00,广东省,3.4517,0.0196,329.7924,29.875,正常运行,Status: Normal
2024-07-02 01:30:00,广东省,3.5254,0.0,401.4178,29.85,正常运行,Status: Normal
2024-07-02 01:45:00,广东省,3.4602,0.0,378.3598,29.825,正常运行,Status: Normal
2024-07-02 02:00:00,广东省,3.6325,0.0,361.8027,29.8,正常运行,Status: Normal
2024-07-02 02:15:00,广东省,3.4854,0.0,335.5408,29.8,正常运行,Status: Normal
2024-07-02 02:30:00,广东省,3.5544,0.116,367.8653,29.8,正常运行,Status: Normal
2024-07-02 02:45:00,广东省,3.5879,0.0,368.7958,29.8,正常运行,Status: Normal
2024-07-02 03:00:00,广东省,3.7862,0.0,387.42,29.8,正常运行,Status: Normal
2024-07-02 03:15:00,广东省,3.615,0.0034,415.707,29.7,正常运行,Status: Normal
2024-07-02 03:30:00,广东省,3.445,0.0234,355.6698,29.6,正常运行,Status: Normal
2024-07-02 03:45:00,广东省,3.7265,0.0,397.8688,29.5,正常运行,Status: Normal
2024-07-02 04:00:00,广东省,3.5574,0.0,399.4727,29.4,正常运行,Status: Normal
2024-07-02 04:15:00,广东省,3.5732,0.0,361.6113,29.275,正常运行,Status: Normal
2024-07-02 04:30:00,广东省,3.3982,0.0,359.0319,29.15,正常运行,Status: Normal
2024-07-02 04:45:00,广东省,3.5087,0.0098,391.5372,29.025,正常运行,Status: Normal
2024-07-02 05:00:00,广东省,3.5769,0.0082,317.96,28.9,正常运行,Status: Normal
2024-07-02 05:15:00,广东省,3.3633,0.0,381.779,28.925,正常运行,Status: Normal
2024-07-02 05:30:00,广东省,3.5107,0.011,337.8551,28.95,正常运行,Status: Normal
2024-07-02 05:45:00,广东省,3.5588,0.0115,361.2399,28.975,正常运行,Status: Normal
2024-07-02 06:00:00,广东省,3.4715,0.0238,374.7111,29.0,正常运行,Status: Normal
2024-07-02 06:15:00,广东省,3.7343,0.0686,356.0308,28.975,正常运行,Status: Normal
