timestamp,region,load_mw,pv_mw,price_yuan_mwh,temperature_c,event_type,event_text,source_note
2025-07-01 00:00:00,广东省,3.3048,0.0284,196.9094,28.772,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 00:15:00,广东省,3.4302,0.0,285.5646,29.301,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 00:30:00,广东省,3.175,0.0364,210.76,28.746,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 00:45:00,广东省,3.5714,0.0,273.8077,28.809,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 01:00:00,广东省,3.4818,0.0,212.6727,29.06,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 01:15:00,广东省,3.3714,0.0472,214.1494,29.669,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 01:30:00,广东省,3.3704,0.1552,254.5809,28.865,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 01:45:00,广东省,3.4456,0.0,235.4434,28.262,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 02:00:00,广东省,3.3784,0.0,264.0323,28.576,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 02:15:00,广东省,3.3847,0.0222,221.5164,29.115,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 02:30:00,广东省,3.4997,0.111,226.5585,28.215,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 02:45:00,广东省,3.4765,0.0122,249.2843,28.646,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 03:00:00,广东省,3.4085,0.0,196.0739,28.648,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
2025-07-01 03:15:00,广东省,3.4075,0.0,231.6914,30.048,正常运行,Status: Normal,公开披露数据校准 + 仿真构造；不可表述为真实15分钟VPP运行数据
